	AT	Balt	BE	DE	DK	Es	Fr	NL	No	Se	Uk
t854	0.07	0.07	0.07	0.08	0.08	0.08	0.09	0.09	0.10	0.10	0.09
t855	0.07	0.07	0.07	0.07	0.07	0.09	0.11	0.14	0.16	0.16	0.16
t856	0.15	0.14	0.13	0.13	0.12	0.12	0.12	0.11	0.11	0.12	0.13
t857	0.15	0.14	0.11	0.11	0.12	0.13	0.20	0.25	0.33	0.39	0.48
t858	0.61	0.70	0.77	0.81	0.81	0.82	0.81	0.80	0.78	0.76	0.77
t859	0.79	0.79	0.79	0.79	0.76	0.73	0.74	0.69	0.68	0.71	0.70
t860	0.65	0.61	0.57	0.54	0.51	0.51	0.47	0.36	0.28	0.26	0.25
t861	0.24	0.21	0.19	0.17	0.14	0.11	0.12	0.14	0.13	0.10	0.07
t862	0.06	0.06	0.05	0.05	0.08	0.14	0.17	0.18	0.20	0.23	0.30
t863	0.38	0.48	0.53	0.57	0.61	0.66	0.71	0.74	0.77	0.79	0.82
t864	0.84	0.86	0.86	0.88	0.89	0.90	0.90	0.90	0.90	0.89	0.88
t865	0.87	0.84	0.81	0.77	0.71	0.70	0.72	0.71	0.67	0.65	0.68
t866	0.67	0.61	0.57	0.55	0.62	0.66	0.71	0.75	0.76	0.84	0.87
t867	0.87	0.89	0.92	0.93	0.93	0.93	0.94	0.94	0.94	0.93	0.93
t868	0.93	0.92	0.92	0.91	0.91	0.89	0.88	0.87	0.85	0.85	0.85
t869	0.83	0.78	0.73	0.68	0.58	0.50	0.42	0.43	0.44	0.48	0.55
t870	0.58	0.61	0.65	0.62	0.65	0.68	0.65	0.65	0.62	0.61	0.58
t871	0.54	0.48	0.43	0.36	0.34	0.27	0.26	0.32	0.40	0.42	0.43
t872	0.45	0.44	0.40	0.39	0.34	0.25	0.23	0.17	0.15	0.13	0.11
t873	0.10	0.08	0.07	0.06	0.06	0.06	0.06	0.06	0.06	0.07	0.08
t874	0.11	0.13	0.13	0.13	0.12	0.10	0.08	0.15	0.11	0.08	0.05
t875	0.03	0.01	0.01	0.02	0.04	0.06	0.08	0.11	0.08	0.11	0.14
t876	0.15	0.15	0.16	0.15	0.14	0.14	0.13	0.12	0.10	0.07	0.07
t877	0.06	0.06	0.05	0.05	0.06	0.07	0.07	0.05	0.04	0.04	0.05
t878	0.05	0.06	0.06	0.06	0.06	0.06	0.07	0.09	0.11	0.15	0.21
t879	0.40	0.31	0.35	0.37	0.44	0.48	0.52	0.58	0.67	0.72	0.76
t880	0.79	0.80	0.80	0.82	0.84	0.85	0.86	0.86	0.86	0.85	0.84
t881	0.82	0.77	0.69	0.67	0.62	0.63	0.59	0.59	0.62	0.59	0.56
t882	0.54	0.56	0.61	0.67	0.68	0.66	0.62	0.59	0.61	0.65	0.68
t883	0.69	0.64	0.59	0.49	0.50	0.49	0.41	0.29	0.24	0.22	0.24
t884	0.25	0.24	0.22	0.22	0.20	0.19	0.18	0.16	0.16	0.18	0.24
t885	0.28	0.33	0.34	0.36	0.38	0.34	0.37	0.35	0.36	0.32	0.39
t886	0.37	0.36	0.32	0.32	0.32	0.31	0.30	0.29	0.25	0.22	0.19
t887	0.20	0.21	0.20	0.19	0.18	0.18	0.19	0.19	0.16	0.15	0.16
t888	0.16	0.15	0.15	0.14	0.13	0.13	0.13	0.14	0.14	0.12	0.14
t889	0.17	0.21	0.25	0.32	0.36	0.39	0.36	0.33	0.32	0.30	0.23
t890	0.24	0.26	0.29	0.35	0.32	0.32	0.34	0.32	0.29	0.25	0.28
t891	0.27	0.26	0.23	0.22	0.22	0.25	0.26	0.28	0.30	0.30	0.29
t892	0.29	0.21	0.19	0.16	0.17	0.17	0.15	0.12	0.11	0.09	0.08
t893	0.06	0.07	0.06	0.04	0.04	0.03	0.04	0.03	0.04	0.04	0.04
t894	0.04	0.03	0.02	0.03	0.03	0.03	0.04	0.04	0.04	0.03	0.03
t895	0.02	0.03	0.03	0.03	0.03	0.02	0.02	0.01	0.02	0.02	0.02
t896	0.02	0.03	0.04	0.07	0.09	0.12	0.17	0.26	0.32	0.34	0.35
t897	0.37	0.41	0.37	0.31	0.25	0.20	0.11	0.09	0.07	0.06	0.05
t898	0.06	0.07	0.10	0.14	0.20	0.29	0.45	0.60	0.68	0.73	0.75
t899	0.75	0.76	0.73	0.71	0.73	0.75	0.74	0.68	0.65	0.64	0.64
t900	0.58	0.52	0.45	0.36	0.23	0.16	0.16	0.19	0.18	0.20	0.20
t901	0.19	0.19	0.15	0.12	0.11	0.08	0.06	0.05	0.03	0.03	0.02
t902	0.02	0.01	0.01	0.01	0.00	0.00	0.00	0.01	0.01	0.01	0.01
t903	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.03	0.04	0.05	0.05
t904	0.05	0.05	0.04	0.04	0.04	0.04	0.05	0.05	0.07	0.07	0.05
t905	0.04	0.04	0.04	0.03	0.03	0.03	0.03	0.04	0.05	0.07	0.08
t906	0.09	0.10	0.10	0.09	0.10	0.08	0.08	0.08	0.09	0.09	0.10
t907	0.09	0.09	0.08	0.07	0.10	0.09	0.08	0.07	0.07	0.06	0.06
t908	0.07	0.07	0.07	0.07	0.07	0.11	0.09	0.10	0.10	0.10	0.10
t909	0.10	0.12	0.12	0.14	0.14	0.14	0.16	0.15	0.15	0.16	0.14
t910	0.14	0.15	0.20	0.21	0.22	0.21	0.20	0.21	0.21	0.22	0.26
t911	0.28	0.31	0.32	0.34	0.36	0.38	0.38	0.39	0.48	0.47	0.47
t912	0.42	0.41	0.42	0.41	0.43	0.44	0.45	0.45	0.43	0.47	0.43
t913	0.37	0.30	0.25	0.22	0.17	0.13	0.10	0.08	0.06	0.04	0.04
t914	0.04	0.03	0.03	0.04	0.04	0.05	0.06	0.07	0.08	0.09	0.09
t915	0.10	0.11	0.13	0.11	0.09	0.09	0.08	0.07	0.07	0.06	0.04
t916	0.03	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
t917	0.01	0.01	0.01	0.01	0.65	0.68	0.71	0.75	0.78	0.79	0.76
t918	0.76	0.77	0.79	0.73	0.70	0.68	0.68	0.68	0.64	0.58	0.49
t919	0.38	0.32	0.34	0.35	0.36	0.40	0.46	0.50	0.53	0.55	0.54
t920	0.54	0.53	0.51	0.51	0.60	0.39	0.39	0.38	0.36	0.34	0.40
t921	0.39	0.33	0.26	0.20	0.17	0.17	0.20	0.21	0.22	0.22	0.22
t922	0.23	0.24	0.26	0.28	0.26	0.26	0.32	0.26	0.28	0.33	0.37
t923	0.36	0.35	0.31	0.26	0.22	0.19	0.17	0.16	0.20	0.15	0.12
t924	0.10	0.10	0.10	0.09	0.07	0.07	0.06	0.04	0.04	0.06	0.06
t925	0.06	0.07	0.07	0.07	0.08	0.10	0.10	0.10	0.10	0.10	0.08
t926	0.08	0.08	0.09	0.09	0.10	0.10	0.11	0.11	0.09	0.06	0.04
t927	0.04	0.04	0.03	0.03	0.03	0.04	0.05	0.05	0.04	0.04	0.04
t928	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
t929	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.03	0.04	0.04
t930	0.05	0.05	0.04	0.05	0.05	0.04	0.04	0.03	0.03	0.03	0.03
t931	0.04	0.04	0.05	0.05	0.04	0.06	0.09	0.11	0.13	0.14	0.18
t932	0.23	0.28	0.31	0.35	0.39	0.46	0.47	0.47	0.42	0.37	0.31
t933	0.25	0.22	0.19	0.14	0.11	0.09	0.07	0.07	0.09	0.10	0.11
t934	0.11	0.12	0.13	0.12	0.09	0.06	0.05	0.09	0.13	0.17	0.20
t935	0.25	0.31	0.35	0.38	0.40	0.41	0.42	0.46	0.44	0.42	0.43
t936	0.44	0.47	0.43	0.39	0.36	0.35	0.32	0.30	0.29	0.27	0.26
t937	0.25	0.23	0.21	0.21	0.18	0.18	0.18	0.20	0.21	0.22	0.23
t938	0.22	0.19	0.17	0.15	0.15	0.14	0.16	0.17	0.16	0.16	0.16
t939	0.17	0.16	0.15	0.16	0.16	0.16	0.16	0.17	0.16	0.20	0.21
t940	0.19	0.13	0.12	0.14	0.14	0.14	0.11	0.09	0.08	0.08	0.09
t941	0.10	0.12	0.16	0.16	0.13	0.10	0.09	0.08	0.08	0.09	0.12
t942	0.14	0.15	0.20	0.26	0.36	0.39	0.38	0.34	0.35	0.33	0.28
t943	0.20	0.15	0.11	0.09	0.09	0.08	0.07	0.07	0.09	0.12	0.16
t944	0.21	0.24	0.25	0.28	0.36	0.31	0.43	0.54	0.55	0.49	0.42
t945	0.35	0.33	0.32	0.27	0.21	0.18	0.30	0.29	0.29	0.27	0.31
t946	0.34	0.36	0.39	0.39	0.40	0.36	0.31	0.33	0.30	0.29	0.25
t947	0.21	0.16	0.12	0.08	0.05	0.04	0.02	0.02	0.02	0.02	0.03
t948	0.04	0.05	0.06	0.07	0.08	0.07	0.07	0.07	0.10	0.15	0.15
t949	0.17	0.20	0.21	0.27	0.37	0.37	0.35	0.26	0.22	0.20	0.25
t950	0.22	0.19	0.15	0.11	0.06	0.04	0.03	0.05	0.07	0.07	0.07
t951	0.05	0.08	0.10	0.06	0.05	0.05	0.06	0.06	0.06	0.06	0.06
t952	0.05	0.04	0.03	0.02	0.02	0.01	0.01	0.01	0.02	0.04	0.05
t953	0.06	0.06	0.07	0.09	0.13	0.17	0.24	0.36	0.44	0.47	0.54
t954	0.60	0.66	0.74	0.81	0.80	0.78	0.75	0.71	0.67	0.56	0.48
t955	0.44	0.38	0.33	0.29	0.19	0.20	0.22	0.29	0.36	0.46	0.52
t956	0.56	0.63	0.67	0.70	0.68	0.68	0.67	0.68	0.68	0.69	0.70
t957	0.70	0.68	0.66	0.65	0.61	0.58	0.44	0.43	0.47	0.47	0.44
t958	0.43	0.38	0.34	0.33	0.33	0.30	0.28	0.25	0.25	0.24	0.24
t959	0.25	0.22	0.22	0.22	0.19	0.20	0.22	0.30	0.34	0.41	0.52
t960	0.56	0.53	0.50	0.51	0.56	0.55	0.55	0.62	0.67	0.71	0.74
t961	0.73	0.74	0.74	0.69	0.60	0.51	0.41	0.31	0.22	0.17	0.12
t962	0.11	0.11	0.10	0.10	0.09	0.10	0.11	0.12	0.10	0.09	0.09
t963	0.10	0.10	0.10	0.11	0.11	0.13	0.15	0.18	0.21	0.25	0.27
t964	0.30	0.26	0.27	0.33	0.35	0.43	0.50	0.51	0.49	0.52	0.58
t965	0.57	0.53	0.50	0.50	0.47	0.44	0.43	0.42	0.37	0.29	0.24
t966	0.20	0.14	0.12	0.11	0.09	0.07	0.05	0.04	0.03	0.02	0.02
t967	0.01	0.01	0.01	0.01	0.03	0.04	0.06	0.07	0.09	0.10	0.13
t968	0.18	0.21	0.20	0.17	0.17	0.20	0.21	0.23	0.27	0.29	0.33
t969	0.41	0.51	0.56	0.57	0.57	0.55	0.55	0.51	0.49	0.47	0.45
t970	0.43	0.42	0.42	0.41	0.37	0.32	0.23	0.20	0.20	0.19	0.17
t971	0.16	0.15	0.16	0.19	0.21	0.22	0.21	0.21	0.16	0.18	0.20
t972	0.23	0.25	0.27	0.28	0.30	0.29	0.30	0.22	0.22	0.36	0.33
t973	0.39	0.50	0.60	0.60	0.59	0.57	0.59	0.65	0.70	0.73	0.71
t974	0.72	0.69	0.66	0.64	0.65	0.66	0.67	0.66	0.62	0.62	0.62
t975	0.56	0.55	0.52	0.47	0.40	0.38	0.36	0.32	0.27	0.24	0.27
t976	0.31	0.35	0.35	0.35	0.36	0.33	0.26	0.21	0.18	0.17	0.17
t977	0.17	0.16	0.12	0.10	0.12	0.14	0.14	0.15	0.15	0.20	0.22
t978	0.23	0.23	0.21	0.21	0.17	0.14	0.11	0.09	0.08	0.06	0.05
t979	0.03	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.04	0.04	0.06
t980	0.12	0.19	0.23	0.27	0.30	0.33	0.35	0.35	0.38	0.37	0.38
t981	0.39	0.42	0.41	0.39	0.33	0.31	0.25	0.28	0.33	0.39	0.40
t982	0.39	0.44	0.49	0.54	0.57	0.58	0.57	0.55	0.59	0.13	0.12
t983	0.11	0.10	0.10	0.09	0.08	0.05	0.05	0.06	0.04	0.04	0.04
t984	0.04	0.04	0.03	0.02	0.02	0.02	0.02	0.02	0.03	0.05	0.07
t985	0.10	0.13	0.15	0.16	0.17	0.18	0.17	0.12	0.10	0.13	0.12
t986	0.13	0.18	0.26	0.33	0.36	0.41	0.48	0.54	0.56	0.59	0.60
t987	0.69	0.64	0.60	0.62	0.64	0.68	0.70	0.70	0.69	0.61	0.68
t988	0.72	0.64	0.66	0.67	0.67	0.64	0.59	0.59	0.60	0.62	0.62
t989	0.62	0.61	0.66	0.61	0.58	0.59	0.60	0.61	0.63	0.64	0.65
t990	0.56	0.59	0.64	0.61	0.60	0.60	0.60	0.59	0.52	0.49	0.49
t991	0.51	0.49	0.48	0.48	0.52	0.51	0.48	0.47	0.47	0.47	0.48
t992	0.46	0.45	0.31	0.29	0.29	0.32	0.32	0.30	0.31	0.32	0.33
t993	0.38	0.44	0.50	0.50	0.50	0.51	0.54	0.51	0.50	0.50	0.49
t994	0.49	0.49	0.48	0.45	0.33	0.29	0.29	0.30	0.26	0.22	0.20
t995	0.18	0.15	0.16	0.22	0.29	0.33	0.35	0.35	0.36	0.31	0.26
t996	0.23	0.20	0.17	0.15	0.12	0.08	0.04	0.03	0.02	0.01	0.01
t997	0.01	0.01	0.02	0.02	0.04	0.07	0.13	0.15	0.14	0.12	0.10
t998	0.08	0.06	0.06	0.05	0.06	0.07	0.08	0.06	0.06	0.07	0.08
t999	0.11	0.14	0.20	0.28	0.37	0.39	0.39	0.37	0.33	0.27	0.23
t1000	0.20	0.16	0.18	0.18	0.20	0.24	0.26	0.26	0.28	0.37	0.38
t1001	0.40	0.41	0.42	0.46	0.47	0.45	0.43	0.41	0.33	0.29	0.24
t1002	0.22	0.21	0.23	0.19	0.17	0.14	0.12	0.11	0.11	0.10	0.08
t1003	0.07	0.06	0.05	0.05	0.02	0.03	0.04	0.05	0.06	0.07	0.08
t1004	0.08	0.08	0.08	0.07	0.06	0.05	0.05	0.05	0.05	0.05	0.05
t1005	0.06	0.06	0.06	0.07	0.07	0.06	0.03	0.03	0.04	0.05	0.06
t1006	0.07	0.08	0.07	0.08	0.08	0.08	0.07	0.05	0.05	0.05	0.05
t1007	0.06	0.06	0.07	0.07	0.06	0.09	0.09	0.09	0.07	0.09	0.10
t1008	0.12	0.13	0.14	0.14	0.15	0.16	0.15	0.13	0.10	0.09	0.08
t1009	0.07	0.06	0.07	0.08	0.10	0.10	0.09	0.12	0.18	0.17	0.11
t1010	0.10	0.09	0.11	0.13	0.16	0.17	0.20	0.26	0.30	0.31	0.31
t1011	0.35	0.32	0.30	0.28	0.24	0.23	0.21	0.20	0.13	0.10	0.09
t1012	0.16	0.10	0.10	0.11	0.13	0.15	0.18	0.18	0.23	0.29	0.30
t1013	0.28	0.26	0.26	0.23	0.21	0.20	0.19	0.18	0.17	0.15	0.09
t1014	0.08	0.08	0.13	0.09	0.10	0.12	0.16	0.20	0.21	0.20	0.19
t1015	0.17	0.14	0.12	0.12	0.14	0.12	0.11	0.09	0.08	0.07	0.07
t1016	0.06	0.04	0.02	0.03	0.03	0.03	0.03	0.05	0.07	0.10	0.12
t1017	0.14	0.20	0.28	0.31	0.31	0.29	0.27	0.24	0.19	0.17	0.17
t1018	0.17	0.17	0.14	0.09	0.05	0.04	0.04	0.05	0.04	0.04	0.05
t1019	0.05	0.05	0.06	0.08	0.12	0.15	0.16	0.14	0.16	0.12	0.10
t1020	0.09	0.08	0.07	0.05	0.04	0.02	0.01	0.01	0.02	0.02	0.03
t1021	0.05	0.07	0.09	0.12	0.15	0.18	0.19	0.18	0.16	0.14	0.18
t1022	0.12	0.08	0.08	0.08	0.07	0.06	0.04	0.02	0.01	0.01	0.02
t1023	0.03	0.04	0.05	0.07	0.07	0.08	0.11	0.16	0.20	0.20	0.17
t1024	0.14	0.14	0.10	0.08	0.08	0.09	0.10	0.11	0.10	0.06	0.06
t1025	0.07	0.10	0.10	0.12	0.13	0.14	0.15	0.16	0.17	0.18	0.18
t1026	0.16	0.13	0.10	0.08	0.06	0.04	0.04	0.05	0.05	0.05	0.06
t1027	0.04	0.04	0.07	0.08	0.05	0.07	0.10	0.14	0.17	0.19	0.18
t1028	0.15	0.12	0.09	0.08	0.08	0.11	0.11	0.11	0.12	0.14	0.16
t1029	0.18	0.16	0.10	0.08	0.08	0.11	0.12	0.14	0.12	0.10	0.09
t1030	0.07	0.05	0.05	0.07	0.10	0.15	0.20	0.23	0.23	0.20	0.20
t1031	0.20	0.21	0.20	0.17	0.12	0.07	0.07	0.12	0.24	0.24	0.24
t1032	0.25	0.28	0.28	0.25	0.28	0.33	0.38	0.41	0.43	0.50	0.50
t1033	0.50	0.50	0.51	0.53	0.55	0.55	0.54	0.47	0.53	0.66	0.70
t1034	0.72	0.73	0.73	0.69	0.59	0.48	0.41	0.35	0.34	0.35	0.37
t1035	0.39	0.40	0.41	0.42	0.43	0.45	0.45	0.42	0.37	0.31	0.28
t1036	0.26	0.16	0.16	0.16	0.15	0.17	0.16	0.13	0.14	0.16	0.17
t1037	0.18	0.18	0.17	0.19	0.18	0.17	0.19	0.22	0.21	0.18	0.11
t1038	0.07	0.06	0.07	0.09	0.08	0.07	0.06	0.06	0.06	0.06	0.08
t1039	0.14	0.19	0.21	0.21	0.24	0.22	0.18	0.16	0.15	0.15	0.16
t1040	0.14	0.09	0.06	0.06	0.07	0.06	0.05	0.04	0.04	0.04	0.05
t1041	0.07	0.12	0.21	0.27	0.29	0.29	0.28	0.27	0.25	0.24	0.24
t1042	0.25	0.24	0.22	0.20	0.22	0.24	0.26	0.26	0.26	0.25	0.25
t1043	0.26	0.28	0.28	0.36	0.42	0.48	0.50	0.49	0.48	0.41	0.35
t1044	0.35	0.35	0.34	0.31	0.25	0.23	0.19	0.18	0.18	0.12	0.11
t1045	0.11	0.13	0.14	0.14	0.14	0.15	0.21	0.28	0.29	0.27	0.25
t1046	0.20	0.17	0.15	0.13	0.12	0.11	0.08	0.04	0.03	0.03	0.03
t1047	0.02	0.01	0.01	0.01	0.02	0.03	0.05	0.08	0.11	0.13	0.11
t1048	0.09	0.07	0.06	0.58	0.59	0.57	0.62	0.70	0.77	0.83	0.88
t1049	0.90	0.90	0.89	0.90	0.90	0.90	0.90	0.85	0.83	0.86	0.84
t1050	0.83	0.81	0.79	0.76	0.71	0.66	0.61	0.57	0.54	0.52	0.49
t1051	0.51	0.56	0.51	0.50	0.48	0.47	0.45	0.39	0.28	0.20	0.12
t1052	0.07	0.06	0.06	0.05	0.05	0.04	0.04	0.05	0.07	0.09	0.13
t1053	0.17	0.19	0.19	0.19	0.25	0.23	0.21	0.25	0.20	0.15	0.15
t1054	0.17	0.14	0.15	0.19	0.29	0.43	0.50	0.52	0.53	0.56	0.58
t1055	0.62	0.62	0.65	0.69	0.71	0.75	0.72	0.72	0.69	0.71	0.70
t1056	0.65	0.54	0.41	0.32	0.22	0.16	0.12	0.09	0.07	0.04	0.03
t1057	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.03	0.03
t1058	0.03	0.04	0.05	0.07	0.09	0.13	0.17	0.27	0.39	0.51	0.56
t1059	0.58	0.61	0.63	0.63	0.65	0.68	0.66	0.64	0.64	0.60	0.57
t1060	0.59	0.55	0.62	0.66	0.65	0.67	0.70	0.65	0.44	0.34	0.41
t1061	0.38	0.25	0.21	0.20	0.22	0.19	0.15	0.15	0.16	0.12	0.14
t1062	0.17	0.25	0.33	0.30	0.35	0.38	0.42	0.38	0.36	0.30	0.23
t1063	0.24	0.24	0.22	0.21	0.18	0.16	0.16	0.15	0.12	0.10	0.07
t1064	0.06	0.04	0.04	0.07	0.11	0.11	0.12	0.11	0.10	0.09	0.06
t1065	0.04	0.04	0.05	0.06	0.10	0.18	0.28	0.38	0.45	0.46	0.44
t1066	0.42	0.37	0.28	0.12	0.08	0.06	0.06	0.06	0.07	0.10	0.11
t1067	0.12	0.11	0.10	0.08	0.09	0.09	0.10	0.10	0.10	0.09	0.07
t1068	0.06	0.06	0.05	0.04	0.02	0.02	0.02	0.02	0.03	0.04	0.06
t1069	0.07	0.09	0.09	0.07	0.05	0.05	0.05	0.05	0.05	0.06	0.06
t1070	0.06	0.05	0.04	0.03	0.03	0.03	0.02	0.01	0.01	0.01	0.01
t1071	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.03	0.06	0.08	0.11
t1072	0.13	0.11	0.11	0.12	0.14	0.18	0.23	0.25	0.22	0.18	0.16
t1073	0.18	0.22	0.15	0.13	0.12	0.10	0.09	0.06	0.06	0.08	0.09
t1074	0.09	0.08	0.09	0.06	0.05	0.04	0.04	0.03	0.04	0.05	0.04
t1075	0.04	0.07	0.07	0.07	0.05	0.05	0.05	0.06	0.06	0.05	0.04
t1076	0.04	0.06	0.08	0.09	0.09	0.07	0.06	0.06	0.09	0.13	0.17
t1077	0.21	0.22	0.31	0.39	0.36	0.28	0.26	0.16	0.12	0.10	0.11
t1078	0.10	0.07	0.06	0.05	0.05	0.04	0.04	0.06	0.06	0.05	0.04
t1079	0.04	0.03	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
t1080	0.02	0.03	0.04	0.05	0.05	0.05	0.05	0.05	0.05	0.06	0.06
t1081	0.06	0.07	0.07	0.07	0.07	0.07	0.06	0.07	0.09	0.12	0.17
t1082	0.22	0.28	0.31	0.29	0.25	0.21	0.18	0.14	0.15	0.17	0.19
t1083	0.23	0.27	0.27	0.26	0.23	0.21	0.20	0.17	0.18	0.20	0.24
t1084	0.27	0.23	0.23	0.21	0.16	0.12	0.09	0.06	0.05	0.05	0.05
t1085	0.04	0.04	0.05	0.05	0.05	0.04	0.04	0.05	0.05	0.05	0.03
t1086	0.03	0.03	0.03	0.03	0.03	0.02	0.02	0.01	0.02	0.02	0.02
t1087	0.03	0.03	0.02	0.02	0.02	0.01	0.01	0.01	0.00	0.00	0.01
t1088	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
t1089	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.03	0.04	0.05
t1090	0.05	0.04	0.05	0.05	0.04	0.03	0.02	0.02	0.02	0.02	0.03
t1091	0.04	0.04	0.06	0.08	0.07	0.06	0.06	0.08	0.11	0.10	0.09
t1092	0.07	0.07	0.06	0.03	0.02	0.02	0.02	0.03	0.04	0.04	0.04
t1093	0.05	0.06	0.06	0.05	0.05	0.05	0.05	0.06	0.07	0.07	0.11
t1094	0.11	0.11	0.10	0.10	0.09	0.08	0.05	0.04	0.04	0.04	0.05
t1095	0.04	0.04	0.04	0.04	0.04	0.04	0.03	0.03	0.05	0.06	0.07
t1096	0.06	0.06	0.05	0.04	0.04	0.03	0.03	0.03	0.02	0.03	0.04
t1097	0.05	0.08	0.08	0.11	0.13	0.17	0.20	0.27	0.32	0.34	0.29
t1098	0.26	0.25	0.25	0.27	0.23	0.19	0.20	0.21	0.20	0.15	0.12
t1099	0.12	0.11	0.09	0.08	0.07	0.06	0.05	0.03	0.02	0.01	0.01
t1100	0.01	0.03	0.08	0.15	0.23	0.27	0.28	0.27	0.25	0.24	0.23
t1101	0.20	0.18	0.12	0.11	0.13	0.18	0.24	0.22	0.21	0.21	0.19
t1102	0.17	0.15	0.16	0.21	0.29	0.33	0.36	0.46	0.41	0.34	0.30
t1103	0.27	0.25	0.22	0.19	0.11	0.10	0.09	0.09	0.07	0.09	0.07
t1104	0.06	0.05	0.05	0.07	0.10	0.10	0.10	0.10	0.10	0.14	0.12
t1105	0.12	0.10	0.09	0.08	0.06	0.04	0.03	0.03	0.03	0.03	0.05
t1106	0.06	0.07	0.08	0.09	0.09	0.09	0.08	0.07	0.06	0.06	0.06
t1107	0.06	0.06	0.05	0.04	0.03	0.03	0.02	0.01	0.01	0.02	0.03
t1108	0.05	0.06	0.08	0.09	0.09	0.10	0.12	0.14	0.15	0.16	0.15
t1109	0.14	0.12	0.09	0.08	0.07	0.07	0.08	0.08	0.08	0.05	0.05
t1110	0.05	0.04	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.04
t1111	0.05	0.04	0.03	0.03	0.02	0.02	0.02	0.04	0.07	0.08	0.09
t1112	0.10	0.08	0.09	0.11	0.11	0.10	0.11	0.11	0.12	0.12	0.11
t1113	0.10	0.09	0.10	0.10	0.10	0.09	0.06	0.06	0.14	0.14	0.12
t1114	0.10	0.07	0.03	0.03	0.03	0.03	0.04	0.03	0.04	0.05	0.06
t1115	0.08	0.08	0.07	0.06	0.06	0.06	0.05	0.05	0.04	0.03	0.03
t1116	0.02	0.02	0.02	0.03	0.03	0.04	0.04	0.05	0.06	0.09	0.09
t1117	0.10	0.10	0.09	0.08	0.06	0.06	0.09	0.12	0.16	0.22	0.28
t1118	0.30	0.32	0.31	0.31	0.29	0.24	0.14	0.11	0.10	0.10	0.10
t1119	0.09	0.09	0.09	0.07	0.06	0.04	0.03	0.03	0.03	0.03	0.03
t1120	0.03	0.04	0.04	0.05	0.06	0.07	0.09	0.10	0.07	0.07	0.07
t1121	0.08	0.08	0.06	0.06	0.07	0.07	0.09	0.12	0.15	0.22	0.28
t1122	0.33	0.34	0.37	0.40	0.38	0.38	0.39	0.39	0.39	0.37	0.28
t1123	0.24	0.23	0.23	0.24	0.22	0.20	0.19	0.17	0.16	0.16	0.16
t1124	0.21	0.30	0.38	0.38	0.38	0.38	0.34	0.32	0.29	0.25	0.23
t1125	0.17	0.11	0.07	0.06	0.05	0.05	0.03	0.03	0.02	0.01	0.01
t1126	0.01	0.02	0.03	0.03	0.04	0.04	0.03	0.03	0.02	0.02	0.03
t1127	0.03	0.03	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.03	0.03
t1128	0.03	0.03	0.03	0.03	0.02	0.01	0.01	0.01	0.02	0.01	0.01
t1129	0.00	0.00	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.02
t1130	0.03	0.07	0.16	0.27	0.33	0.43	0.42	0.44	0.42	0.39	0.37
t1131	0.33	0.32	0.32	0.31	0.30	0.30	0.26	0.23	0.25	0.30	0.35
t1132	0.37	0.27	0.31	0.32	0.32	0.34	0.32	0.28	0.26	0.28	0.28
t1133	0.25	0.21	0.11	0.09	0.11	0.11	0.11	0.10	0.08	0.05	0.04
t1134	0.04	0.03	0.03	0.02	0.02	0.02	0.02	0.03	0.04	0.05	0.05
t1135	0.05	0.04	0.03	0.03	0.02	0.02	0.02	0.02	0.02	0.03	0.02
t1136	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.02
t1137	0.02	0.03	0.04	0.07	0.11	0.16	0.26	0.25	0.25	0.24	0.21
t1138	0.14	0.10	0.07	0.05	0.04	0.04	0.04	0.04	0.06	0.09	0.12
t1139	0.15	0.12	0.09	0.09	0.11	0.13	0.13	0.10	0.09	0.11	0.16
t1140	0.17	0.18	0.20	0.19	0.21	0.17	0.12	0.09	0.08	0.07	0.07
t1141	0.08	0.07	0.05	0.03	0.02	0.02	0.02	0.02	0.02	0.04	0.06
t1142	0.09	0.11	0.13	0.14	0.17	0.22	0.19	0.18	0.19	0.20	0.20
t1143	0.21	0.20	0.19	0.18	0.18	0.20	0.19	0.21	0.24	0.21	0.18
t1144	0.18	0.16	0.15	0.14	0.12	0.09	0.09	0.09	0.08	0.07	0.07
t1145	0.09	0.12	0.11	0.17	0.20	0.21	0.18	0.13	0.11	0.08	0.07
t1146	0.07	0.07	0.07	0.08	0.08	0.08	0.09	0.09	0.09	0.08	0.07
